sales_record_id,sales_order_id,created_date,created_time,last_updated_date,last_updated_time,sales_staff_id,counterparty_id,units_sold,unit_price,currency_id,design_id,agreed_payment_date,agreed_delivery_date,agreed_delivery_location_id
98322,17,2022-11-15,08:46:09.873000,2022-11-15,08:46:09.873000,20,13,36220,2.00,3,7,2022-11-19,2022-11-20,9
98323,19,2022-11-16,09:05:10.336000,2022-11-16,09:05:10.336000,13,10,41878,2.29,2,13,2022-11-18,2022-11-17,15
98324,21,2022-11-17,11:47:09.942000,2022-11-17,11:47:09.942000,18,18,42135,3.63,3,5,2022-11-18,2022-11-18,27
98325,22,2022-11-17,17:13:10.235000,2022-11-17,17:13:10.235000,7,11,92468,2.70,2,4,2022-11-20,2022-11-20,19
98326,18,2022-11-16,08:17:10.016000,2022-11-16,08:17:10.016000,20,17,93380,2.95,2,56,2022-11-20,2022-11-20,2
98327,25,2022-11-18,12:27:09.924000,2022-11-18,12:27:09.924000,16,15,19231,2.45,2,4,2022-11-20,2022-11-22,12
98328,16,2022-11-14,15:32:10.333000,2022-11-14,15:32:10.333000,15,16,22626,2.55,3,4,2022-11-20,2022-11-20,29
98329,26,2022-11-21,08:54:09.974000,2022-11-21,08:54:09.974000,17,13,74152,2.61,3,4,2022-11-24,2022-11-25,29
98330,24,2022-11-18,11:32:10.363000,2022-11-18,11:32:10.363000,19,12,35424,3.75,3,13,2022-11-19,2022-11-20,28
98331,28,2022-11-22,11:21:10.343000,2022-11-22,11:21:10.343000,13,10,69611,3.08,2,4,2022-11-26,2022-11-24,5
98332,29,2022-11-22,12:23:10.271000,2022-11-22,12:23:10.271000,18,15,34227,2.88,3,5,2022-11-23,2022-11-28,15
98333,30,2022-11-22,13:15:10.374000,2022-11-22,13:15:10.374000,16,12,39968,3.99,3,2,2022-11-28,2022-11-26,4
98334,31,2022-11-22,16:42:10.511000,2022-11-22,16:42:10.511000,14,8,30606,2.11,2,3,2022-11-23,2022-11-29,28
98335,27,2022-11-21,16:46:10.282000,2022-11-21,16:46:10.282000,15,15,42254,3.59,2,6,2022-11-25,2022-11-27,29
98336,32,2022-11-23,16:24:10.261000,2022-11-23,16:24:10.261000,18,4,80203,3.40,2,10,2022-11-27,2022-11-26,27
98337,34,2022-11-24,08:22:10.200000,2022-11-24,08:22:10.200000,4,15,91411,3.92,3,9,2022-11-28,2022-11-29,21
98338,68,2022-12-12,10:12:10.163000,2022-12-12,10:12:10.163000,17,5,24572,3.96,2,13,2022-12-18,2022-12-17,26
98339,23,2022-11-18,08:44:10.251000,2022-11-18,08:44:10.251000,12,10,84270,3.52,2,14,2022-11-19,2022-11-28,28
98340,36,2022-11-28,10:34:10.317000,2022-11-28,10:34:10.317000,16,19,16624,2.18,3,15,2022-11-29,2022-12-03,18
98341,37,2022-11-29,12:16:10.126000,2022-11-29,12:16:10.126000,7,2,15341,2.98,3,12,2022-12-01,2022-12-04,10
98342,9,2022-11-04,15:42:10.886000,2022-11-04,15:42:10.886000,17,15,72808,3.44,2,9,2022-11-05,2022-11-10,29
98343,40,2022-11-30,10:11:10.435000,2022-11-30,10:11:10.435000,15,8,48999,3.46,3,16,2022-12-02,2022-12-03,30
98344,41,2022-11-30,10:41:09.931000,2022-11-30,10:41:09.931000,16,8,64692,2.60,3,10,2022-12-01,2022-11-30,3
98345,42,2022-11-30,12:44:09.907000,2022-11-30,12:44:09.907000,5,11,32209,2.16,3,20,2022-12-06,2022-12-01,27
98346,43,2022-11-30,15:28:10.633000,2022-11-30,15:28:10.633000,7,19,36219,2.17,3,15,2022-12-04,2022-12-03,28
98347,45,2022-11-30,17:56:10.354000,2022-11-30,17:56:10.354000,13,19,78543,3.93,2,17,2022-12-06,2022-12-02,10
98348,46,2022-12-01,08:47:10.394000,2022-12-01,08:47:10.394000,6,3,44358,2.14,2,7,2022-12-06,2022-12-02,24
98349,47,2022-12-01,10:28:10.371000,2022-12-01,10:28:10.371000,7,4,94770,3.76,3,21,2022-12-05,2022-12-05,27
98350,48,2022-12-01,13:38:10.594000,2022-12-01,13:38:10.594000,11,5,32565,3.31,2,4,2022-12-04,2022-12-02,28
98351,49,2022-12-01,16:06:10.197000,2022-12-01,16:06:10.197000,11,5,99018,3.62,3,2,2022-12-01,2022-12-01,16
98352,50,2022-12-01,16:23:10.180000,2022-12-01,16:23:10.180000,16,17,93352,3.04,2,3,2022-12-05,2022-12-07,10
98353,51,2022-12-01,17:43:10.073000,2022-12-01,17:43:10.073000,3,15,10841,2.41,2,6,2022-12-02,2022-12-02,25
98354,52,2022-12-02,09:21:10.173000,2022-12-02,09:21:10.173000,15,17,70084,2.28,2,13,2022-12-05,2022-12-08,8
98355,54,2022-12-02,12:21:09.764000,2022-12-02,12:21:09.764000,12,17,38661,3.87,3,2,2022-12-07,2022-12-04,22
98356,55,2022-12-02,14:05:10.169000,2022-12-02,14:05:10.169000,7,6,55012,2.43,3,17,2022-12-06,2022-12-09,11
98357,56,2022-12-05,14:57:09.727000,2022-12-05,14:57:09.727000,9,4,73839,3.38,3,11,2022-12-09,2022-12-09,10
98358,57,2022-12-05,18:14:10.350000,2022-12-05,18:14:10.350000,6,20,52026,2.22,3,7,2022-12-06,2022-12-08,24
98359,58,2022-12-05,18:21:10.132000,2022-12-05,18:21:10.132000,3,4,11604,2.03,2,15,2022-12-11,2022-12-09,9
98360,60,2022-12-06,14:43:10.177000,2022-12-06,14:43:10.177000,6,11,95044,2.06,3,4,2022-12-11,2022-12-10,3
98361,65,2022-12-09,18:44:10.313000,2022-12-09,18:44:10.313000,13,20,74696,2.00,2,29,2022-12-11,2022-12-11,24
98362,61,2022-12-07,09:49:10.510000,2022-12-07,09:49:10.510000,17,19,78083,2.61,3,26,2022-12-11,2022-12-12,9
98363,33,2022-11-24,08:19:10.014000,2022-11-24,08:19:10.014000,6,7,12403,3.03,2,5,2022-11-24,2022-11-27,21
98364,35,2022-11-25,13:10:10.345000,2022-11-25,13:10:10.345000,16,11,52800,2.88,2,2,2022-11-27,2022-12-06,23
98365,62,2022-12-08,16:43:09.858000,2022-12-08,16:43:09.858000,2,6,91717,3.99,2,4,2022-12-12,2022-12-12,6
98366,63,2022-12-09,08:02:10.562000,2022-12-09,08:02:10.562000,15,14,45984,2.31,2,24,2022-12-10,2022-12-11,28
98367,64,2022-12-09,11:53:10.299000,2022-12-09,11:53:10.299000,3,18,13798,2.86,3,16,2022-12-13,2022-12-12,8
98368,53,2022-12-02,11:42:10.242000,2022-12-02,11:42:10.242000,12,11,90339,3.04,2,14,2022-12-03,2022-12-02,17
98369,66,2022-12-12,09:09:10.195000,2022-12-12,09:09:10.195000,3,16,30889,3.07,3,22,2022-12-17,2022-12-15,11
98370,67,2022-12-12,09:24:12.874000,2022-12-12,09:24:12.874000,3,3,50043,3.46,2,3,2022-12-14,2022-12-13,16
98371,69,2022-12-12,11:13:10.089000,2022-12-12,11:13:10.089000,5,11,4353,3.99,3,7,2022-12-17,2022-12-13,22
98372,70,2022-12-12,11:32:09.981000,2022-12-12,11:32:09.981000,9,12,88469,3.01,3,29,2022-12-15,2022-12-16,7
98373,71,2022-12-12,12:55:10.296000,2022-12-12,12:55:10.296000,7,6,59409,3.68,2,25,2022-12-13,2022-12-16,7
98374,72,2022-12-12,17:50:10.202000,2022-12-12,17:50:10.202000,13,3,92491,3.17,3,9,2022-12-16,2022-12-17,14
98375,73,2022-12-12,18:23:09.777000,2022-12-12,18:23:09.777000,20,18,46168,3.77,2,9,2022-12-13,2022-12-14,5
98376,74,2022-12-13,09:51:10.395000,2022-12-13,09:51:10.395000,3,20,90827,2.91,3,5,2022-12-18,2022-12-20,26
98377,75,2022-12-13,11:06:09.753000,2022-12-13,11:06:09.753000,17,17,50434,2.67,2,27,2022-12-18,2022-12-17,8
98378,20,2022-11-17,09:52:10.749000,2022-11-17,09:52:10.749000,9,17,41059,2.96,2,12,2022-11-19,2022-12-22,26
98379,38,2022-11-29,14:34:10.160000,2022-11-29,14:34:10.160000,19,6,78190,2.14,2,3,2022-11-29,2022-12-05,4
98380,59,2022-12-06,10:27:10.432000,2022-12-06,10:27:10.432000,16,19,84294,2.65,2,15,2022-12-10,2023-01-17,30
98381,44,2022-11-30,16:03:10.369000,2022-11-30,16:03:10.369000,8,2,95017,3.78,3,5,2022-12-04,2022-12-02,29
98382,1,2022-11-03,14:20:52.186000,2022-11-03,14:20:52.186000,13,18,84754,2.43,3,9,2022-11-03,2022-11-10,4
98383,76,2022-12-13,12:47:10.479000,2022-12-13,12:47:10.479000,13,19,26453,2.49,3,9,2022-12-14,2022-12-13,5
98384,77,2022-12-13,13:05:09.885000,2022-12-13,13:05:09.885000,7,12,1086,3.14,3,13,2022-12-15,2022-12-16,15
98385,78,2022-12-13,15:17:10.259000,2022-12-13,15:17:10.259000,19,9,10674,3.37,3,17,2022-12-18,2022-12-14,28
98386,80,2022-12-13,15:47:10.282000,2022-12-13,15:47:10.282000,10,5,27304,3.87,3,5,2022-12-19,2022-12-18,5
98387,82,2022-12-13,15:52:09.823000,2022-12-13,15:52:09.823000,11,15,70466,2.34,2,24,2022-12-13,2022-12-17,9
98388,83,2022-12-13,17:13:10.452000,2022-12-13,17:13:10.452000,18,4,88895,2.46,3,23,2022-12-14,2022-12-16,20
98389,84,2022-12-13,18:29:10.133000,2022-12-13,18:29:10.133000,10,7,29224,3.27,2,12,2022-12-17,2022-12-19,16
98390,7738,2024-04-11,09:12:09.935000,2024-04-11,09:12:09.935000,19,13,63560,2.00,2,313,2024-04-12,2024-04-17,8
98391,86,2022-12-14,09:11:10.295000,2022-12-14,09:11:10.295000,13,10,95492,3.37,3,3,2022-12-18,2022-12-15,21
98392,87,2022-12-14,09:55:10.639000,2022-12-14,09:55:10.639000,4,9,1653,3.91,2,23,2022-12-17,2022-12-19,18
98393,88,2022-12-14,10:02:10.137000,2022-12-14,10:02:10.137000,18,16,58820,2.74,2,11,2022-12-16,2022-12-15,26
98394,89,2022-12-14,10:12:10.357000,2022-12-14,10:12:10.357000,8,4,31543,2.15,2,23,2022-12-19,2022-12-20,17
98395,90,2022-12-14,10:21:10.105000,2022-12-14,10:21:10.105000,3,5,4797,2.86,2,24,2022-12-19,2022-12-15,15
98396,91,2022-12-14,10:24:09.763000,2022-12-14,10:24:09.763000,4,7,81477,3.60,3,19,2022-12-16,2022-12-18,5
98397,92,2022-12-14,15:00:10.409000,2022-12-14,15:00:10.409000,14,10,39034,3.15,2,24,2022-12-20,2022-12-15,5
98398,93,2022-12-14,17:22:10.534000,2022-12-14,17:22:10.534000,8,3,80804,3.02,2,15,2022-12-19,2022-12-19,8
98399,94,2022-12-14,17:28:10.177000,2022-12-14,17:28:10.177000,14,20,36531,3.25,2,19,2022-12-20,2022-12-14,15
98400,95,2022-12-14,17:47:10.159000,2022-12-14,17:47:10.159000,9,2,18635,3.75,2,20,2022-12-15,2022-12-17,19
98401,96,2022-12-15,08:41:10.174000,2022-12-15,08:41:10.174000,2,13,40943,2.44,2,23,2022-12-16,2022-12-21,16
98402,97,2022-12-15,10:54:10.487000,2022-12-15,10:54:10.487000,4,13,61590,3.80,3,13,2022-12-16,2022-12-16,2
98403,98,2022-12-15,10:57:09.998000,2022-12-15,10:57:09.998000,20,13,27752,2.68,3,7,2022-12-16,2022-12-17,8
98404,99,2022-12-15,11:51:09.876000,2022-12-15,11:51:09.876000,8,3,15311,3.87,3,5,2022-12-21,2022-12-18,17
98405,101,2022-12-15,12:04:10.055000,2022-12-15,12:04:10.055000,17,10,64517,3.39,2,15,2022-12-17,2022-12-16,5
98406,102,2022-12-15,12:35:10.412000,2022-12-15,12:35:10.412000,15,16,50853,3.57,2,5,2022-12-21,2022-12-21,27
98407,5220,2023-11-14,18:35:09.824000,2023-11-14,18:35:09.824000,10,10,56109,2.63,3,19,2023-11-20,2023-11-17,8
98408,104,2022-12-15,13:23:10.138000,2022-12-15,13:23:10.138000,5,3,65639,2.22,3,23,2022-12-20,2022-12-17,10
98409,105,2022-12-15,15:16:10.785000,2022-12-15,15:16:10.785000,12,10,53042,3.20,2,10,2022-12-18,2022-12-16,29
98410,106,2022-12-15,16:01:09.961000,2022-12-15,16:01:09.961000,4,11,86024,3.87,2,30,2022-12-18,2022-12-16,9
98411,107,2022-12-15,16:20:10.267000,2022-12-15,16:20:10.267000,8,14,19463,3.85,2,4,2022-12-19,2022-12-21,12
98412,108,2022-12-15,17:09:09.913000,2022-12-15,17:09:09.913000,7,14,72099,2.62,2,34,2022-12-20,2022-12-21,3
98413,109,2022-12-15,17:28:09.828000,2022-12-15,17:28:09.828000,20,15,71303,3.72,2,29,2022-12-17,2022-12-22,26
98414,110,2022-12-15,18:27:10.202000,2022-12-15,18:27:10.202000,7,8,55169,2.94,3,30,2022-12-19,2022-12-20,12
98415,111,2022-12-15,18:50:10.148000,2022-12-15,18:50:10.148000,12,10,73786,3.58,2,19,2022-12-17,2022-12-20,14
98416,2763,2023-06-14,14:07:09.781000,2023-06-14,14:07:09.781000,3,20,80788,2.80,3,148,2023-06-15,2023-06-14,10
98417,113,2022-12-16,09:48:09.915000,2022-12-16,09:48:09.915000,5,4,25871,2.68,3,27,2022-12-16,2022-12-21,30
98418,114,2022-12-16,11:38:10.374000,2022-12-16,11:38:10.374000,20,15,59526,2.01,2,17,2022-12-20,2022-12-19,30
98419,115,2022-12-16,11:49:09.855000,2022-12-16,11:49:09.855000,17,18,95003,3.74,3,12,2022-12-18,2022-12-18,18
98420,116,2022-12-16,14:02:09.889000,2022-12-16,14:02:09.889000,12,16,46138,2.57,2,22,2022-12-18,2022-12-23,6
98421,117,2022-12-16,14:10:10.425000,2022-12-16,14:10:10.425000,14,17,81108,2.62,2,35,2022-12-20,2022-12-19,25
98422,118,2022-12-16,14:30:09.840000,2022-12-16,14:30:09.840000,10,3,16688,3.75,2,9,2022-12-20,2022-12-19,17
98423,119,2022-12-16,16:12:10.264000,2022-12-16,16:12:10.264000,5,9,16470,2.96,2,25,2022-12-17,2022-12-16,11
98424,120,2022-12-16,17:11:10.623000,2022-12-16,17:11:10.623000,16,7,73668,2.65,3,21,2022-12-22,2022-12-17,6
98425,39,2022-11-29,18:34:09.917000,2022-11-29,18:34:09.917000,9,17,21820,3.39,3,18,2022-12-03,2022-12-06,16
98426,121,2022-12-16,18:51:10.388000,2022-12-16,18:51:10.388000,18,5,90219,3.96,2,26,2022-12-22,2022-12-17,8
98427,122,2022-12-19,08:19:09.974000,2022-12-19,08:19:09.974000,13,11,22123,3.51,2,25,2022-12-24,2022-12-21,21
98428,123,2022-12-19,08:22:10.272000,2022-12-19,08:22:10.272000,6,12,4779,3.61,3,7,2022-12-23,2022-12-24,5
98429,124,2022-12-19,09:19:10.260000,2022-12-19,09:19:10.260000,2,11,11194,3.40,2,18,2022-12-20,2022-12-19,20
98430,125,2022-12-19,09:22:09.932000,2022-12-19,09:22:09.932000,6,7,33976,2.64,3,30,2022-12-21,2022-12-19,11
98431,126,2022-12-19,09:26:09.992000,2022-12-19,09:26:09.992000,14,5,52121,3.58,3,3,2022-12-22,2022-12-21,17
98432,127,2022-12-19,14:35:09.905000,2022-12-19,14:35:09.905000,9,20,99645,3.69,3,25,2022-12-21,2022-12-26,10
98433,128,2022-12-19,14:53:10.201000,2022-12-19,14:53:10.201000,19,12,30713,2.07,3,27,2022-12-20,2022-12-21,18
98434,129,2022-12-19,15:07:09.986000,2022-12-19,15:07:09.986000,7,19,50734,2.22,2,34,2022-12-22,2022-12-21,2
98435,130,2022-12-19,16:07:10.439000,2022-12-19,16:07:10.439000,20,16,51394,2.43,3,30,2022-12-22,2022-12-22,5
98436,131,2022-12-19,16:17:10.281000,2022-12-19,16:17:10.281000,10,10,12838,2.99,2,17,2022-12-22,2022-12-26,8
98437,132,2022-12-19,17:29:10.168000,2022-12-19,17:29:10.168000,7,18,43987,3.17,2,6,2022-12-23,2022-12-24,19
98438,133,2022-12-19,17:30:09.990000,2022-12-19,17:30:09.990000,5,12,12128,2.48,3,3,2022-12-24,2022-12-23,7
98439,134,2022-12-19,18:21:09.890000,2022-12-19,18:21:09.890000,11,17,83525,3.00,3,25,2022-12-21,2022-12-23,18
98440,135,2022-12-20,09:29:10.154000,2022-12-20,09:29:10.154000,4,18,58712,2.31,3,25,2022-12-25,2022-12-22,24
98441,136,2022-12-20,09:49:09.898000,2022-12-20,09:49:09.898000,13,4,90349,3.26,2,21,2022-12-26,2022-12-24,22
98442,137,2022-12-20,10:00:10.389000,2022-12-20,10:00:10.389000,15,20,5051,2.54,3,30,2022-12-22,2022-12-22,19
98443,138,2022-12-20,11:03:10.484000,2022-12-20,11:03:10.484000,18,17,96097,3.35,3,25,2022-12-22,2022-12-24,14
98444,139,2022-12-20,13:00:09.953000,2022-12-20,13:00:09.953000,3,5,91397,2.58,3,25,2022-12-24,2022-12-26,9
98445,140,2022-12-20,14:21:10.130000,2022-12-20,14:21:10.130000,20,20,26513,2.60,2,10,2022-12-23,2022-12-26,10
98446,141,2022-12-20,14:32:10.475000,2022-12-20,14:32:10.475000,14,14,7711,2.54,2,21,2022-12-23,2022-12-23,22
98447,143,2022-12-20,18:01:09.960000,2022-12-20,18:01:09.960000,8,13,92063,2.29,3,17,2022-12-23,2022-12-22,12
98448,144,2022-12-20,18:24:10.375000,2022-12-20,18:24:10.375000,14,9,19781,3.77,3,14,2022-12-22,2022-12-27,18
98449,145,2022-12-20,18:31:09.920000,2022-12-20,18:31:09.920000,13,6,37047,2.84,3,4,2022-12-24,2022-12-24,9
98450,146,2022-12-21,08:28:09.977000,2022-12-21,08:28:09.977000,16,16,51722,2.51,3,13,2022-12-26,2022-12-22,25
98451,147,2022-12-21,09:31:10.243000,2022-12-21,09:31:10.243000,14,9,84664,2.07,3,23,2022-12-26,2022-12-27,30
98452,148,2022-12-21,09:40:10.283000,2022-12-21,09:40:10.283000,15,9,72973,2.03,3,29,2022-12-26,2022-12-22,8
98453,149,2022-12-21,13:04:10.487000,2022-12-21,13:04:10.487000,11,17,32009,3.03,3,4,2022-12-24,2022-12-25,9
98454,79,2022-12-13,15:22:10.191000,2022-12-13,15:22:10.191000,3,4,42801,3.04,2,28,2022-12-13,2022-12-18,17
98455,81,2022-12-13,15:50:10.217000,2022-12-13,15:50:10.217000,20,20,86854,2.14,2,30,2022-12-18,2022-12-16,17
98456,100,2022-12-15,11:55:10.280000,2022-12-15,11:55:10.280000,8,14,10809,3.38,3,31,2022-12-18,2023-02-26,24
98457,142,2022-12-20,15:54:10.213000,2022-12-20,15:54:10.213000,16,13,98789,3.57,2,72,2022-12-25,2022-12-22,26
98458,150,2022-12-21,14:08:09.851000,2022-12-21,14:08:09.851000,10,19,35465,2.11,3,9,2022-12-27,2022-12-28,26
98459,5221,2023-11-14,18:41:10.003000,2023-11-14,18:41:10.003000,17,8,92575,3.60,1,123,2023-11-15,2023-11-20,12
98460,152,2022-12-21,16:08:10.029000,2022-12-21,16:08:10.029000,12,10,97564,2.92,3,37,2022-12-22,2022-12-26,30
98461,153,2022-12-21,17:13:09.803000,2022-12-21,17:13:09.803000,10,5,22418,2.94,2,26,2022-12-21,2022-12-24,29
98462,154,2022-12-21,17:22:10.490000,2022-12-21,17:22:10.490000,16,10,81201,2.19,3,14,2022-12-26,2022-12-24,23
98463,155,2022-12-21,18:28:10.064000,2022-12-21,18:28:10.064000,15,2,60214,2.54,2,32,2022-12-27,2022-12-26,29
98464,156,2022-12-21,18:49:10.231000,2022-12-21,18:49:10.231000,7,11,1251,3.15,2,9,2022-12-22,2022-12-27,24
98465,157,2022-12-22,08:00:12.774000,2022-12-22,08:00:12.774000,2,20,93266,3.30,3,19,2022-12-26,2022-12-28,16
98466,158,2022-12-22,08:44:09.948000,2022-12-22,08:44:09.948000,11,17,79275,3.23,3,15,2022-12-28,2022-12-22,17
98467,159,2022-12-22,09:43:10.076000,2022-12-22,09:43:10.076000,13,20,31366,2.27,2,32,2022-12-23,2022-12-25,9
98468,160,2022-12-22,11:37:10.167000,2022-12-22,11:37:10.167000,7,4,61612,3.75,3,13,2022-12-26,2022-12-26,24
98469,161,2022-12-22,12:46:09.957000,2022-12-22,12:46:09.957000,9,2,54695,3.79,3,29,2022-12-27,2022-12-26,17
98470,163,2022-12-22,13:51:09.924000,2022-12-22,13:51:09.924000,17,10,53537,3.58,3,21,2022-12-23,2022-12-27,28
98471,165,2022-12-22,15:50:10.266000,2022-12-22,15:50:10.266000,8,2,33532,2.26,3,3,2022-12-25,2022-12-23,14
98472,166,2022-12-22,16:07:09.794000,2022-12-22,16:07:09.794000,20,19,81436,3.51,3,19,2022-12-25,2022-12-27,10
98473,168,2022-12-22,18:25:10.305000,2022-12-22,18:25:10.305000,18,13,39807,2.80,2,3,2022-12-23,2022-12-28,5
98474,169,2022-12-22,18:46:10.616000,2022-12-22,18:46:10.616000,4,18,42597,3.87,2,28,2022-12-25,2022-12-25,2
98475,170,2022-12-23,09:38:09.877000,2022-12-23,09:38:09.877000,18,7,44718,3.99,2,33,2022-12-23,2022-12-29,21
98476,171,2022-12-23,09:41:10.365000,2022-12-23,09:41:10.365000,2,18,35856,3.52,2,36,2022-12-28,2022-12-26,3
98477,172,2022-12-23,12:06:10.319000,2022-12-23,12:06:10.319000,19,8,10618,3.00,2,16,2022-12-25,2022-12-28,22
98478,173,2022-12-23,12:27:10.293000,2022-12-23,12:27:10.293000,14,12,91531,2.55,2,13,2022-12-23,2022-12-24,17
98479,174,2022-12-23,13:00:10.509000,2022-12-23,13:00:10.509000,8,6,52408,3.26,2,25,2022-12-28,2022-12-29,7
98480,175,2022-12-23,13:33:10.217000,2022-12-23,13:33:10.217000,16,14,87304,2.64,3,4,2022-12-26,2022-12-24,11
98481,176,2022-12-23,16:01:10.217000,2022-12-23,16:01:10.217000,11,17,59849,2.21,2,26,2022-12-24,2022-12-27,23
98482,177,2022-12-23,16:53:09.890000,2022-12-23,16:53:09.890000,18,9,67661,3.75,2,27,2022-12-26,2022-12-27,22
98483,178,2022-12-23,17:25:10.633000,2022-12-23,17:25:10.633000,18,10,62706,2.16,3,21,2022-12-29,2022-12-27,5
98484,179,2022-12-26,08:05:10.099000,2022-12-26,08:05:10.099000,6,17,48488,3.09,3,24,2022-12-26,2022-12-31,23
98485,180,2022-12-26,10:14:10.001000,2022-12-26,10:14:10.001000,19,19,48222,2.79,2,8,2022-12-28,2022-12-31,15
98486,162,2022-12-22,12:47:10.104000,2022-12-22,12:47:10.104000,2,3,5465,2.98,3,20,2022-12-28,2022-12-28,14
98487,181,2022-12-26,12:02:10.056000,2022-12-26,12:02:10.056000,2,5,78508,3.67,2,16,2022-12-27,2022-12-26,7
98488,182,2022-12-26,12:08:10.100000,2022-12-26,12:08:10.100000,6,12,51497,2.15,3,7,2022-12-28,2022-12-31,27
98489,183,2022-12-26,12:37:10.140000,2022-12-26,12:37:10.140000,11,18,5901,2.13,3,33,2022-12-30,2023-01-01,8
98490,184,2022-12-26,12:42:10.758000,2022-12-26,12:42:10.758000,13,10,64874,3.63,2,30,2022-12-28,2022-12-29,10
98491,185,2022-12-26,15:44:10.307000,2022-12-26,15:44:10.307000,13,20,89793,2.97,2,21,2022-12-30,2022-12-27,17
98492,186,2022-12-26,16:11:10.217000,2022-12-26,16:11:10.217000,14,13,48819,2.97,2,27,2022-12-28,2022-12-31,8
98493,187,2022-12-26,17:25:10.274000,2022-12-26,17:25:10.274000,12,11,55155,2.70,2,7,2023-01-01,2022-12-28,4
98494,188,2022-12-27,08:38:10.095000,2022-12-27,08:38:10.095000,18,9,81249,3.83,3,31,2022-12-30,2022-12-31,5
98495,1232,2023-03-10,09:32:10.394000,2023-03-10,09:32:10.394000,11,18,97087,2.42,1,80,2023-03-14,2023-03-16,4
98496,190,2022-12-27,11:12:09.858000,2022-12-27,11:12:09.858000,15,17,11073,2.36,3,14,2022-12-28,2022-12-30,23
98497,191,2022-12-27,11:43:10.368000,2022-12-27,11:43:10.368000,3,9,24002,3.85,3,5,2023-01-01,2023-01-01,19
98498,192,2022-12-27,11:59:10.286000,2022-12-27,11:59:10.286000,13,18,87789,2.34,3,4,2022-12-28,2023-01-02,27
98499,193,2022-12-27,14:04:09.720000,2022-12-27,14:04:09.720000,17,20,97572,2.76,2,25,2022-12-30,2022-12-28,24
98500,2764,2023-06-14,14:39:09.797000,2023-06-14,14:39:09.797000,1,14,2193,2.28,1,42,2023-06-17,2023-06-19,5
98501,195,2022-12-27,16:27:10.160000,2022-12-27,16:27:10.160000,11,8,41558,3.98,3,31,2022-12-27,2022-12-27,7
98502,196,2022-12-27,17:10:10.321000,2022-12-27,17:10:10.321000,14,8,43795,2.41,2,29,2023-01-01,2023-01-01,5
98503,198,2022-12-28,11:20:10.209000,2022-12-28,11:20:10.209000,12,6,98762,2.21,2,37,2023-01-02,2023-01-03,8
98504,199,2022-12-28,11:29:10.091000,2022-12-28,11:29:10.091000,13,8,56634,3.34,3,24,2022-12-30,2023-01-04,24
98505,200,2022-12-28,13:25:10.269000,2022-12-28,13:25:10.269000,7,6,47999,3.50,3,17,2023-01-03,2022-12-29,6
98506,201,2022-12-28,13:27:10.176000,2022-12-28,13:27:10.176000,6,18,42097,3.32,3,19,2022-12-30,2022-12-30,16
98507,202,2022-12-28,13:34:10.318000,2022-12-28,13:34:10.318000,16,11,14989,2.92,3,38,2022-12-29,2023-01-01,9
98508,203,2022-12-28,14:21:10.363000,2022-12-28,14:21:10.363000,5,19,24529,2.20,3,15,2022-12-30,2023-01-03,8
98509,204,2022-12-28,15:44:10.398000,2022-12-28,15:44:10.398000,8,12,53163,3.14,3,24,2022-12-31,2023-01-03,6
98510,205,2022-12-28,17:18:10.161000,2022-12-28,17:18:10.161000,12,8,26311,3.86,3,37,2022-12-29,2022-12-29,5
